ra,dec,gal_l,gal_b,h_mag,shmag,h_2mass,k_2mass,j_2mass,p,sp,pa_deg,gpa_deg,spa,q,sq,u,su,nhwp,uf
288.212985,11.306346,45.418455,0.456956,11.55670,0.00500,11.519,10.554,13.642,1.70,0.79,7.4,69.8,13.3,1.806,0.786,0.479,0.777,16,1
288.734353,11.258351,45.613294,-0.018188,10.08200,0.00130,10.122,9.637,11.450,1.13,0.21,33.3,95.6,5.3,0.458,0.220,1.056,0.206,16,1
288.215693,11.941969,45.982976,0.749148,10.89415,0.00222,10.915,10.428,12.173,1.06,0.35,17.6,80.0,9.0,0.914,0.366,0.644,0.324,32,1
288.216538,11.474511,45.569092,0.531801,8.37750,0.00030,8.517,7.963,9.896,0.44,0.11,150.5,32.9,7.1,0.232,0.110,-0.384,0.107,16,1
288.276386,10.919078,45.104138,0.222317,11.71860,0.00490,11.743,10.440,14.499,3.88,0.74,167.0,49.4,5.5,3.555,0.754,-1.734,0.689,16,1
288.277185,11.792886,45.878752,0.626730,12.30350,0.00990,12.299,11.658,13.830,2.53,1.18,30.6,92.9,13.4,1.348,1.182,2.443,1.178,16,1
288.218285,10.881000,45.043951,0.255217,11.82170,0.00490,11.771,11.363,12.902,1.64,0.63,20.0,82.4,11.0,1.348,0.630,1.130,0.629,16,1
288.218298,11.295143,45.410942,0.447147,11.47770,0.00420,11.422,10.717,13.209,1.76,0.62,14.1,76.5,10.0,1.644,0.593,0.883,0.692,16,1
288.219252,11.485060,45.579673,0.534333,10.78760,0.00260,10.876,10.466,11.892,0.90,0.43,155.5,37.9,13.6,0.655,0.433,-0.754,0.424,16,1
288.738652,10.982348,45.370907,-0.150264,9.02110,0.00050,8.996,7.603,11.919,3.04,0.17,32.9,95.2,1.6,1.243,0.193,2.774,0.160,16,1
288.068476,11.367820,45.407304,0.611003,10.75400,0.00270,10.784,10.147,12.406,1.33,0.43,40.6,103.0,9.3,0.214,0.371,1.383,0.432,16,1
287.882182,11.452811,45.398152,0.812217,11.82090,0.00600,11.825,11.270,13.197,1.98,0.84,60.7,123.2,12.1,-1.121,0.814,1.838,0.846,16,1
288.221840,11.376565,45.484704,0.481805,10.32700,0.00150,10.321,9.343,12.535,2.10,0.49,12.1,74.5,6.7,1.961,0.491,0.883,0.472,16,1
288.742957,11.003209,45.391340,-0.144305,11.32100,0.00390,11.367,10.124,13.986,3.55,0.49,35.1,97.4,3.9,1.215,0.518,3.374,0.484,16,1
288.282109,11.928078,46.000783,0.685129,11.95830,0.01120,11.857,11.469,12.827,2.88,1.40,168.3,50.7,14.0,2.937,1.353,-1.272,1.647,16,1
288.223542,11.918815,45.966014,0.731614,10.10320,0.00130,10.091,9.701,11.325,0.51,0.23,16.6,79.0,13.0,0.470,0.229,0.308,0.237,16,1
288.746803,11.003639,45.393477,-0.147447,11.20000,0.00340,11.242,10.095,13.702,1.84,0.46,34.7,97.0,7.1,0.666,0.503,1.772,0.449,16,1
288.284660,10.848651,45.045506,0.182463,10.94530,0.00200,10.948,9.851,13.449,3.12,0.54,67.1,129.5,5.0,-2.204,0.546,2.270,0.539,16,1
288.285543,11.711613,45.810529,0.581803,11.51140,0.00450,11.568,10.634,13.524,1.32,0.57,13.0,75.3,12.3,1.291,0.560,0.627,0.598,16,1
288.747778,11.745806,46.050958,0.196838,11.49420,0.00490,11.506,11.131,12.542,1.82,0.76,169.1,51.4,12.0,1.831,0.763,-0.730,0.745,16,1
288.748652,11.761478,46.065231,0.203368,11.29810,0.00390,11.320,10.508,13.237,3.04,0.77,18.1,80.4,7.2,2.527,0.728,1.855,0.839,16,1
288.076813,10.919732,45.013917,0.396273,11.98680,0.00570,11.922,11.170,13.828,2.71,1.18,47.3,109.8,12.5,-0.241,1.165,2.951,1.185,16,1
288.287225,11.019506,45.198053,0.259453,11.47450,0.00400,11.413,10.278,13.976,3.70,0.64,5.5,67.9,4.9,3.680,0.629,0.719,0.768,16,1
288.289586,11.881925,45.963278,0.657252,11.07010,0.00370,11.011,10.411,12.667,1.14,0.47,16.4,78.8,11.7,1.033,0.468,0.668,0.461,16,1
288.228688,11.705459,45.779270,0.628281,10.93680,0.00310,10.947,10.096,12.938,1.42,0.42,14.9,77.3,8.5,1.285,0.432,0.736,0.375,16,1
288.750380,11.049850,45.436020,-0.129066,8.93005,0.00035,9.018,8.349,10.613,1.76,0.24,1.1,63.4,3.9,1.774,0.240,0.068,0.265,32,1
288.751041,11.785393,46.087490,0.212419,11.22350,0.00390,11.219,9.999,13.993,2.15,0.54,46.7,108.9,7.2,-0.128,0.581,2.213,0.538,16,1
288.290373,11.866856,45.950282,0.649584,11.10690,0.00350,11.130,10.251,13.129,3.36,0.48,21.4,83.8,4.1,2.491,0.501,2.306,0.466,16,1
288.291227,10.858678,45.057380,0.181398,11.23570,0.00250,11.275,10.977,12.182,1.78,0.67,7.3,69.6,10.7,1.841,0.668,0.476,0.666,16,1
288.293783,10.875770,45.073688,0.187100,9.78660,0.00110,9.836,9.238,11.307,0.93,0.32,39.4,101.7,9.9,0.192,0.327,0.965,0.320,16,1
287.878898,11.479235,45.420095,0.827289,12.32510,0.00860,12.351,12.271,12.787,3.25,1.49,87.0,149.4,13.1,-3.552,1.489,0.376,1.468,16,1
288.084995,11.592429,45.613897,0.700648,11.60200,0.00390,11.586,11.238,12.564,1.82,0.70,153.6,36.0,11.1,1.180,0.689,-1.555,0.714,16,1
288.295627,11.563008,45.683434,0.504155,10.93430,0.00350,10.930,10.137,12.846,2.14,0.61,175.1,57.4,8.2,2.193,0.605,-0.381,0.746,16,1
287.882689,11.434169,45.381851,0.803156,12.10680,0.00680,12.124,11.878,12.975,3.06,1.51,79.8,142.3,14.1,-3.195,1.510,1.186,1.494,16,1
288.246812,11.930579,45.986991,0.716890,9.03710,0.00060,9.027,8.440,10.213,2.79,0.27,17.4,79.8,2.8,2.299,0.290,1.599,0.232,16,1
288.093060,11.399228,45.446303,0.604185,9.80590,0.00120,9.807,9.335,11.064,0.67,0.23,64.0,126.5,10.0,-0.437,0.210,0.558,0.247,16,1
288.718236,11.761649,46.051536,0.229810,9.68190,0.00120,9.691,9.145,11.035,0.80,0.15,3.3,65.6,5.4,0.808,0.151,0.092,0.147,16,1
288.017709,11.327319,45.348358,0.636375,11.08880,0.00270,11.141,10.322,13.007,2.15,0.63,35.2,97.6,8.4,0.753,0.579,2.116,0.638,16,1
288.018553,11.387679,45.402250,0.663578,11.06350,0.00320,11.131,10.756,12.050,1.33,0.47,79.6,142.1,10.0,-1.316,0.466,0.498,0.461,16,1
288.311253,11.643754,45.762076,0.528033,11.85780,0.01120,11.883,11.761,12.342,4.18,1.83,164.6,47.0,12.5,3.922,1.875,-2.334,1.697,16,1
288.099198,11.208812,45.280314,0.510672,8.95190,0.00060,9.049,8.414,10.562,0.56,0.17,31.9,94.3,8.7,0.259,0.185,0.525,0.166,16,1
288.099395,11.786985,45.792886,0.778231,9.48761,0.00074,9.586,9.007,11.018,0.36,0.17,172.9,55.3,12.5,0.385,0.173,-0.098,0.182,32,1
288.099886,11.453868,45.497833,0.623556,8.72780,0.00050,8.750,8.415,9.758,0.46,0.09,65.3,127.7,5.7,-0.302,0.092,0.353,0.089,16,1
288.311265,11.737201,45.844880,0.571352,12.11203,0.00553,12.142,11.320,14.015,1.70,0.84,1.1,63.5,12.8,1.892,0.843,0.069,0.891,32,1
288.027536,11.002218,45.064632,0.477345,10.14120,0.00120,10.213,9.542,11.716,0.91,0.24,5.5,68.0,7.6,0.922,0.241,0.180,0.233,16,1
288.261298,10.983338,45.154207,0.265234,8.84780,0.00050,8.882,7.544,11.382,1.90,0.13,170.5,52.8,1.9,1.799,0.128,-0.622,0.133,16,1
288.261574,11.549052,45.655600,0.527246,10.35110,0.00190,10.347,9.666,12.071,0.79,0.30,174.4,56.8,10.8,0.830,0.296,-0.165,0.335,16,1
288.730003,11.765855,46.060616,0.221567,9.92480,0.00120,9.969,8.715,12.574,1.09,0.25,16.6,78.8,6.4,0.939,0.236,0.612,0.268,16,1
288.311787,11.450223,45.590845,0.437829,10.05860,0.00150,10.074,9.491,11.618,1.48,0.20,160.1,42.5,3.8,1.151,0.193,-0.955,0.204,16,1
288.311969,11.449890,45.590633,0.437516,10.02790,0.00110,10.074,9.491,11.618,1.25,0.37,163.4,45.8,8.4,1.092,0.370,-0.712,0.362,16,1
288.312177,11.551900,45.681110,0.484638,10.44205,0.00161,10.486,10.099,11.593,1.27,0.41,154.8,37.2,8.7,0.850,0.382,-1.026,0.423,32,1
288.028090,11.100266,45.151797,0.522250,7.63440,0.00020,7.759,6.855,9.434,1.15,0.37,24.6,87.1,9.2,0.787,0.357,0.914,0.377,16,1
288.263080,11.798994,45.877764,0.641795,10.89670,0.00240,10.961,10.777,11.315,1.10,0.46,22.2,84.6,11.9,0.849,0.497,0.832,0.409,16,1
288.312455,11.259191,45.421894,0.348663,9.33826,0.00053,9.389,8.826,10.788,1.13,0.15,147.3,29.7,3.8,0.472,0.136,-1.034,0.155,32,1
288.263656,11.146499,45.299850,0.338825,9.59260,0.00100,9.612,8.834,11.438,1.44,0.26,7.4,69.8,5.2,1.409,0.258,0.373,0.254,16,1
288.741265,10.900056,45.299246,-0.190802,12.13658,0.00529,12.151,11.736,13.333,1.69,0.82,12.4,74.7,12.5,1.706,0.816,0.788,0.855,32,1
288.034235,11.104833,45.158637,0.519020,12.24270,0.00990,12.249,11.467,14.057,2.56,1.25,176.8,59.2,14.0,2.828,1.246,-0.316,1.388,16,1
288.743827,10.877479,45.280428,-0.203527,10.51970,0.00160,10.611,10.462,10.875,0.77,0.24,51.8,114.1,9.1,-0.191,0.245,0.784,0.244,16,1
288.745483,11.831614,46.125880,0.238729,9.91780,0.00120,9.878,8.751,12.324,2.61,0.32,21.4,83.7,3.5,1.928,0.320,1.787,0.316,16,1
288.062571,11.691584,45.691624,0.766021,8.80490,0.00050,8.849,8.088,10.646,0.54,0.14,174.2,56.6,7.3,0.550,0.136,-0.113,0.195,16,1
288.063470,11.177127,45.235999,0.527064,12.36550,0.01150,12.365,11.814,13.787,3.05,1.46,38.7,101.2,13.8,0.733,1.569,3.301,1.458,16,1
288.034706,11.031511,45.093856,0.484667,10.55740,0.00180,10.629,10.023,12.258,1.71,0.41,19.0,81.4,6.9,1.387,0.409,1.080,0.411,16,1
288.239344,10.850683,45.026673,0.222840,11.96090,0.00470,11.847,10.381,15.020,3.50,1.25,31.7,94.1,10.2,1.658,1.287,3.319,1.235,16,1
288.239348,10.928428,45.095563,0.258874,8.90400,0.00050,8.956,8.433,10.279,0.29,0.12,37.5,99.9,12.5,0.081,0.124,0.303,0.125,16,1
288.065049,11.492229,45.516028,0.671579,8.34265,0.00021,8.449,7.908,9.773,0.48,0.09,16.2,78.6,5.4,0.411,0.088,0.262,0.100,32,1
288.270431,11.887466,45.959498,0.676429,9.05320,0.00060,8.992,8.796,10.079,0.46,0.11,15.2,77.6,6.7,0.405,0.109,0.238,0.099,16,1
288.036233,11.592101,45.591491,0.742837,10.61240,0.00190,10.655,10.000,12.301,0.64,0.31,8.0,70.4,13.8,0.684,0.310,0.195,0.300,16,1
288.038640,10.987975,45.057053,0.461089,11.23670,0.00290,11.073,10.229,13.000,2.89,1.16,26.7,89.2,11.5,1.854,1.135,2.502,1.174,16,1
288.073455,11.201451,45.262096,0.529645,9.94466,0.00096,9.967,9.060,11.878,2.25,0.17,27.9,90.3,2.1,1.266,0.169,1.862,0.163,32,1
288.755006,11.667290,45.984740,0.154059,12.46030,0.01360,12.491,11.713,14.281,4.00,1.76,4.2,66.5,12.6,4.322,1.754,0.639,1.909,16,1
288.075123,11.282482,45.334678,0.565714,10.34050,0.00180,10.340,9.799,11.652,0.64,0.29,25.7,88.1,13.2,0.436,0.285,0.546,0.296,16,1
288.004259,11.203267,45.232281,0.590652,12.01300,0.00697,12.118,11.696,13.004,2.54,1.14,75.5,137.9,11.7,-2.438,1.160,1.352,1.080,48,1
288.005156,11.379153,45.388613,0.671275,12.43058,0.00747,12.402,12.027,13.285,4.70,1.25,91.1,153.6,7.4,-4.859,1.250,-0.188,1.238,31,1
288.223574,11.214467,45.341850,0.405172,9.81250,0.00120,9.859,9.167,11.497,0.91,0.20,12.9,75.3,6.3,0.841,0.201,0.407,0.204,16,1
288.078561,11.155207,45.223426,0.503792,11.66990,0.00620,11.667,11.491,12.244,1.98,0.81,168.3,50.8,11.8,1.964,0.810,-0.847,0.839,16,1
288.767118,10.950081,45.355337,-0.190010,11.45471,0.00297,11.493,10.634,13.482,1.35,0.53,34.9,97.2,10.5,0.502,0.592,1.361,0.525,32,1
288.081019,11.383602,45.426987,0.607411,9.51260,0.00080,9.513,9.110,10.822,0.50,0.21,71.7,134.1,11.9,-0.433,0.205,0.321,0.209,16,1
288.282161,11.924219,45.997387,0.683296,7.78980,0.00020,7.835,7.415,8.991,0.83,0.11,10.4,72.8,3.8,0.787,0.105,0.298,0.133,16,1
288.010753,11.291588,45.313526,0.625883,11.78340,0.00670,11.802,11.058,13.470,1.74,0.70,35.1,97.5,11.6,0.636,0.711,1.765,0.704,16,1
288.228761,10.904430,45.069480,0.256962,11.00070,0.00310,11.070,10.711,12.146,1.40,0.56,45.2,107.6,11.4,-0.011,0.457,1.505,0.558,16,1
288.011530,11.647949,45.629802,0.790134,11.67406,0.00426,11.757,11.400,12.836,2.61,0.90,57.5,120.0,9.4,-1.170,0.902,2.501,0.903,48,1
288.012342,11.666667,45.646765,0.798091,11.22728,0.00331,11.242,10.470,13.250,1.52,0.60,13.9,76.3,10.5,1.449,0.616,0.762,0.527,32,1
288.089037,11.175439,45.246118,0.504051,10.35030,0.00200,10.326,9.766,11.878,0.95,0.24,25.6,88.0,7.3,0.615,0.246,0.766,0.242,16,1
288.287241,11.625680,45.735156,0.540490,8.17250,0.00030,8.179,7.158,10.211,1.09,0.14,166.1,48.4,3.7,0.971,0.125,-0.514,0.192,16,1
288.287260,10.929623,45.118432,0.217746,9.11230,0.00050,9.227,8.688,10.524,1.14,0.11,179.0,61.4,2.8,1.148,0.113,-0.040,0.146,16,1
288.288023,11.655015,45.761505,0.553412,10.13910,0.00140,10.199,9.806,11.440,1.72,0.33,170.0,52.4,5.4,1.646,0.325,-0.600,0.334,16,1
288.288055,11.877564,45.958719,0.656558,9.04280,0.00050,9.049,8.380,10.736,0.55,0.14,6.2,68.6,7.4,0.556,0.141,0.123,0.160,16,1
288.233943,11.786988,45.853905,0.661505,10.47600,0.00180,10.493,9.735,12.260,1.10,0.26,7.4,69.8,6.9,1.097,0.263,0.289,0.274,16,1
288.234781,11.052332,45.203276,0.320280,11.77316,0.00537,11.780,11.300,13.003,1.67,0.79,45.8,108.2,12.2,-0.054,0.765,1.842,0.787,32,1
288.288817,11.802997,45.892990,0.621328,9.88250,0.00130,10.010,9.288,11.553,1.24,0.21,169.2,51.6,4.9,1.167,0.205,-0.461,0.243,16,1
288.290430,11.006950,45.188387,0.250844,10.65380,0.00210,10.694,10.272,11.883,0.96,0.31,56.4,118.8,9.4,-0.393,0.383,0.931,0.300,16,1
288.018557,11.047636,45.100812,0.506181,12.14237,0.00610,12.218,11.717,13.482,2.23,1.03,177.9,60.3,12.0,2.448,1.027,-0.183,1.069,32,1
288.723825,11.018399,45.396056,-0.120616,10.70490,0.00190,10.748,9.490,13.349,0.90,0.29,31.5,93.8,9.3,0.428,0.305,0.843,0.288,16,1
288.292100,11.778035,45.872362,0.606908,9.59890,0.00100,9.611,9.223,10.705,0.36,0.15,66.1,128.5,12.1,-0.260,0.163,0.287,0.139,16,1
288.020223,11.414541,45.426821,0.674560,10.05810,0.00120,10.071,9.724,11.036,1.08,0.25,89.5,152.0,6.5,-1.111,0.247,0.019,0.300,16,1
288.021002,11.682804,45.664997,0.798041,8.72720,0.00040,8.789,8.113,10.389,0.26,0.12,114.1,176.5,13.5,-0.190,0.115,-0.213,0.126,16,1
288.099702,11.425173,45.472315,0.610428,10.13310,0.00160,10.150,9.658,11.428,0.49,0.20,58.8,121.2,11.8,-0.246,0.182,0.471,0.206,16,1
288.024312,11.693925,45.676356,0.800314,11.06490,0.00310,11.151,10.914,11.589,0.94,0.40,84.1,146.6,12.1,-1.002,0.399,0.209,0.401,16,1
288.258634,11.570184,45.672990,0.539594,10.65990,0.00290,10.610,10.013,12.197,1.98,0.92,0.4,62.8,13.3,2.178,0.917,0.028,0.585,16,1
288.296544,11.680035,45.787543,0.557618,9.85760,0.00120,9.969,9.246,11.563,0.81,0.37,14.3,76.7,12.9,0.782,0.385,0.426,0.292,16,1
288.261608,11.888749,45.956633,0.684674,11.10350,0.00390,11.079,10.524,12.484,1.49,0.46,156.5,38.9,8.9,1.059,0.439,-1.138,0.476,16,1
288.730895,11.661826,45.968922,0.172423,10.78710,0.00280,10.820,9.733,13.261,4.24,0.50,13.7,76.0,3.4,3.785,0.507,1.965,0.462,16,1
288.732674,11.081433,45.455900,-0.098995,11.15610,0.00340,11.149,10.842,12.101,1.58,0.55,174.6,56.9,9.9,1.643,0.550,-0.314,0.455,16,1
288.732680,10.911604,45.305549,-0.177969,9.69190,0.00080,9.738,9.406,10.465,0.88,0.20,156.2,38.5,6.7,0.612,0.227,-0.669,0.185,16,1
288.029329,11.247152,45.282567,0.589167,9.17970,0.00060,9.211,8.635,10.678,0.74,0.21,72.4,134.8,8.2,-0.628,0.225,0.445,0.184,16,1
288.741307,11.352391,45.699719,0.019504,10.91820,0.00228,10.974,10.011,13.122,1.24,0.46,0.1,62.4,9.9,1.318,0.458,0.005,0.553,32,1
288.264751,11.317822,45.452152,0.417297,11.62640,0.00470,11.607,10.466,14.197,1.65,0.71,22.3,84.7,12.3,1.275,0.667,1.257,0.746,16,1
288.264904,11.826741,45.903179,0.653075,7.50410,0.00030,7.418,6.644,9.209,0.71,0.31,34.9,97.3,12.5,0.268,0.235,0.730,0.320,16,1
288.265184,10.860295,45.046954,0.204809,10.67580,0.00160,10.338,9.306,12.369,3.10,0.62,35.2,97.6,5.7,1.059,0.618,2.979,0.620,16,1
288.743036,10.974267,45.365754,-0.157832,11.19170,0.00350,11.161,9.927,13.823,3.41,0.46,39.9,102.2,3.8,0.612,0.445,3.386,0.457,16,1
288.311570,11.660766,45.777293,0.535646,6.85965,0.00014,6.574,6.008,7.905,2.46,0.66,24.3,86.7,7.4,1.685,0.677,1.913,0.651,32,1
288.311810,10.861875,45.069587,0.164971,11.46423,0.00348,11.530,11.248,12.445,1.16,0.57,82.5,144.9,12.6,-1.249,0.569,0.335,0.572,32,1
288.058586,11.464959,45.488922,0.664568,11.43770,0.00440,11.400,10.882,12.693,2.22,0.78,63.1,125.6,10.1,-1.394,0.718,1.898,0.815,16,1
288.312021,10.890296,45.094863,0.177968,11.48862,0.00355,11.391,10.681,12.872,3.01,1.21,45.0,107.4,10.7,0.005,1.153,3.241,1.214,32,1
288.312034,11.823002,45.921253,0.610468,8.56590,0.00050,8.677,8.298,9.822,0.38,0.15,159.6,41.9,11.2,0.311,0.140,-0.269,0.163,16,1
288.312042,11.063987,45.248758,0.258499,11.00855,0.00223,11.084,10.743,12.058,1.18,0.44,151.2,33.6,10.1,0.676,0.431,-1.066,0.450,32,1
288.312042,11.761903,45.867119,0.582131,11.51220,0.00550,11.586,11.376,11.922,1.15,0.57,93.0,155.4,14.3,-1.282,0.575,-0.136,0.588,16,1
288.312231,11.757314,45.863139,0.579840,9.11940,0.00060,9.169,8.330,10.983,1.12,0.18,0.6,62.9,4.6,1.130,0.180,0.022,0.197,16,1
288.034754,11.204529,45.247247,0.564720,12.36520,0.01050,12.356,11.716,14.079,4.46,1.30,17.8,80.2,8.3,3.779,1.293,2.697,1.309,16,1
288.313414,11.167790,45.341350,0.305444,10.11577,0.00107,10.019,9.080,12.086,2.82,0.33,178.7,61.1,3.3,2.832,0.326,-0.128,0.295,32,1
288.266302,11.553961,45.662097,0.525417,9.20140,0.00070,9.252,8.935,10.195,1.37,0.22,159.5,41.8,4.6,1.046,0.220,-0.911,0.216,16,1
288.063481,11.590678,45.602586,0.718518,9.68470,0.00090,9.709,9.000,11.516,1.58,0.19,1.6,64.0,3.5,1.593,0.192,0.087,0.186,16,1
288.266576,11.547344,45.656359,0.522112,10.37370,0.00220,10.407,9.983,11.660,1.54,0.48,163.8,46.2,8.9,1.358,0.481,-0.863,0.476,16,1
288.314294,11.548898,45.679412,0.481409,12.24960,0.00799,12.307,11.892,13.480,2.63,1.30,27.3,89.7,12.7,1.701,1.349,2.390,1.268,32,1
288.314758,11.142116,45.319215,0.292369,11.02718,0.00250,11.045,10.104,13.091,3.10,0.42,12.9,75.3,3.8,2.820,0.426,1.358,0.389,32,1
288.314773,11.803343,45.905077,0.598977,10.65724,0.00179,10.760,10.138,12.319,1.13,0.32,123.7,6.1,7.7,-0.451,0.313,-1.082,0.317,32,1
288.214934,11.074580,45.213962,0.347851,12.31050,0.01160,12.248,11.276,14.433,3.01,1.47,2.6,65.0,14.0,3.339,1.472,0.305,1.449,16,1
288.002705,11.619355,45.600452,0.784564,10.18174,0.00098,10.296,9.788,11.584,0.72,0.21,69.3,131.8,7.8,-0.565,0.206,0.497,0.206,32,1
288.217491,11.220816,45.344710,0.413402,12.24180,0.00960,12.292,11.964,13.194,2.81,1.11,173.4,55.8,11.4,2.939,1.110,-0.687,1.154,16,1
288.218394,10.953762,45.108476,0.288846,12.17840,0.00830,12.151,10.967,14.847,4.83,0.98,27.6,90.0,5.8,2.807,0.962,4.052,0.991,16,1
288.075169,11.235223,45.292809,0.543792,9.99560,0.00140,10.017,9.657,10.985,0.49,0.24,71.1,133.5,14.1,-0.435,0.262,0.337,0.209,16,1
288.005244,11.112299,45.152087,0.547692,11.28105,0.00339,11.321,10.535,13.282,1.81,0.61,5.2,67.6,9.1,1.874,0.603,0.341,0.699,32,1
288.006021,11.397104,45.404920,0.678831,11.40995,0.00289,11.480,10.914,12.885,1.66,0.45,70.0,132.5,7.5,-1.317,0.455,1.103,0.445,32,1
288.218402,11.206859,45.332757,0.406141,11.18030,0.00350,11.187,10.378,13.126,2.41,0.46,12.8,75.1,5.5,2.213,0.445,1.056,0.516,16,1
288.182897,11.021233,45.152117,0.350993,9.67640,0.00090,9.687,9.460,10.525,0.88,0.12,165.9,48.3,4.0,0.782,0.120,-0.418,0.133,16,1
288.221940,11.278628,45.397962,0.436328,11.59340,0.00530,11.566,10.984,13.056,1.70,0.79,21.4,83.8,13.3,1.375,0.796,1.272,0.783,16,1
288.186295,11.930967,45.959898,0.769540,10.79110,0.00280,10.804,10.334,12.086,1.01,0.38,0.8,63.2,10.9,1.082,0.384,0.028,0.371,16,1
288.188736,11.174387,45.290494,0.416882,8.06880,0.00030,8.148,7.243,10.100,1.60,0.09,11.7,74.1,1.5,1.474,0.084,0.637,0.089,16,1
288.188762,11.763832,45.812887,0.689970,10.30440,0.00200,10.289,9.577,11.854,0.73,0.23,161.8,44.2,9.1,0.619,0.234,-0.457,0.233,16,1
288.276506,11.614039,45.719967,0.544410,9.20550,0.00070,9.258,8.795,10.499,0.60,0.27,21.9,84.3,13.1,0.474,0.247,0.456,0.298,16,1
288.277318,11.728622,45.821867,0.596824,9.66970,0.00100,9.681,8.958,11.628,1.42,0.19,2.6,65.0,3.9,1.429,0.194,0.130,0.202,16,1
288.015492,11.680384,45.660354,0.801704,12.06277,0.00684,12.124,11.786,13.247,2.33,1.05,109.7,172.1,11.7,-1.975,1.027,-1.618,1.071,32,1
288.277354,10.841290,45.035657,0.185408,12.49110,0.00870,12.481,11.803,14.080,2.51,1.14,28.7,91.0,13.1,1.489,1.156,2.322,1.139,16,1
288.278160,10.897326,45.085673,0.210688,11.16088,0.00208,11.238,10.868,12.396,1.59,0.41,26.7,89.1,7.2,0.976,0.424,1.315,0.400,32,1
288.087640,11.378356,45.425342,0.599229,10.34670,0.00190,10.315,9.565,12.197,1.82,0.37,27.1,89.5,5.9,1.088,0.357,1.504,0.383,16,1
288.087658,11.256399,45.317251,0.542741,9.36970,0.00070,9.750,8.514,11.903,1.56,0.41,12.6,75.0,7.5,1.465,0.416,0.687,0.383,16,1
288.279768,11.486578,45.608507,0.482488,11.37330,0.00370,11.285,10.383,13.136,2.55,0.66,2.7,65.1,7.4,2.622,0.659,0.252,0.646,16,1
288.020263,11.046811,45.100856,0.504315,11.31357,0.00255,11.390,11.128,12.231,1.45,0.59,8.5,70.9,10.8,1.501,0.590,0.459,0.593,32,1
288.283916,10.896597,45.087648,0.205342,11.51612,0.00283,11.574,11.235,12.539,1.92,0.81,154.6,37.0,11.1,1.315,0.821,-1.611,0.796,32,1
288.283918,11.372351,45.509181,0.425926,11.42290,0.00360,11.345,10.049,14.116,3.21,1.60,21.4,83.8,14.3,2.629,1.582,2.442,1.623,16,1
288.457182,11.336437,45.556170,0.258777,9.53006,0.00060,9.573,8.321,12.191,0.94,0.35,174.9,57.2,10.1,0.984,0.352,-0.179,0.384,32,1
288.458015,11.465373,45.670756,0.317900,10.94170,0.00260,11.017,10.896,11.393,1.74,0.43,75.7,138.0,7.2,-1.578,0.421,0.860,0.479,16,1
288.196628,11.032417,45.168273,0.344232,11.48620,0.00430,11.476,10.776,13.288,1.61,0.64,12.0,74.4,11.5,1.582,0.646,0.707,0.633,16,1
288.100951,11.412418,45.461577,0.603437,11.45490,0.00560,11.404,10.715,13.109,1.58,0.78,43.9,106.3,14.2,0.070,0.838,1.760,0.781,16,1
288.284733,11.023582,45.200531,0.263510,11.94860,0.00640,11.970,11.305,13.626,1.94,0.78,174.9,57.3,11.5,2.060,0.774,-0.370,0.857,16,1
288.459832,11.476306,45.681266,0.321397,11.44680,0.00400,11.580,11.408,11.898,1.96,0.97,74.9,137.3,14.2,-1.891,0.912,1.097,1.120,16,1
288.197566,11.113066,45.240168,0.380789,11.41830,0.00530,11.340,10.491,13.223,2.42,0.98,12.6,75.0,11.6,2.364,0.968,1.116,1.027,16,1
288.287325,10.924806,45.114193,0.215456,12.36580,0.00990,12.424,11.981,13.530,2.88,1.20,160.8,43.2,12.0,2.445,1.198,-1.931,1.203,16,1
288.288100,10.948721,45.135735,0.225871,11.72060,0.00530,11.717,10.145,15.084,3.53,0.70,173.4,55.8,5.7,3.504,0.691,-0.819,0.815,16,1
288.289680,11.604762,45.717729,0.528676,11.11140,0.00410,11.122,10.148,13.417,2.40,0.65,6.3,68.7,7.8,2.422,0.646,0.543,0.751,16,1
288.460671,11.091630,45.340920,0.142114,6.84545,0.00007,6.798,6.161,8.218,1.94,0.93,164.8,47.2,12.4,1.853,0.917,-1.086,0.959,32,1
288.461560,11.714721,45.893235,0.430558,11.18209,0.00255,11.207,10.651,12.663,2.05,0.45,175.7,58.1,6.1,2.078,0.444,-0.315,0.515,32,1
288.198713,11.796512,45.846364,0.696478,11.43908,0.00320,11.479,10.788,13.167,2.30,0.42,10.2,72.6,5.1,2.191,0.416,0.812,0.442,32,1
288.198733,11.517936,45.599489,0.567386,11.00840,0.00430,11.003,10.538,12.400,3.13,1.54,26.0,88.4,14.1,2.151,1.868,2.752,1.305,16,1
288.104760,11.290485,45.355230,0.543660,10.63970,0.00210,10.595,9.768,12.484,1.39,0.29,23.2,85.6,6.0,0.976,0.304,1.025,0.274,16,1
288.104760,11.271446,45.338355,0.534843,10.93850,0.00390,10.844,10.218,12.454,1.83,0.49,3.5,65.9,7.7,1.878,0.489,0.228,0.669,16,1
288.292168,11.440532,45.573342,0.450372,9.48000,0.00070,9.585,9.491,9.773,0.37,0.18,47.6,109.9,13.7,-0.037,0.179,0.413,0.179,16,1
288.292183,11.295516,45.444860,0.383121,10.29400,0.00150,10.256,9.207,12.536,1.56,0.28,144.5,26.9,5.1,0.520,0.358,-1.502,0.268,16,1
