ra,dec,gal_l,gal_b,h_mag,shmag,h_2mass,k_2mass,j_2mass,p,sp,pa_deg,gpa_deg,spa,q,sq,u,su,nhwp,uf
288.101960,11.439035,45.485627,0.614886,8.68740,0.00040,8.617,8.050,9.963,0.82,0.13,72.8,135.2,4.5,-0.685,0.134,0.470,0.116,16,1
287.931455,11.391364,45.366007,0.740976,12.21940,0.00850,12.173,11.458,13.940,3.18,1.49,64.3,126.8,13.5,-2.193,1.490,2.742,1.497,16,1
288.857363,11.024523,45.462448,-0.233798,8.56060,0.00040,8.579,7.489,10.827,1.06,0.25,51.6,113.8,6.7,-0.247,0.269,1.061,0.245,16,1
288.095724,11.296199,45.356191,0.554160,11.00920,0.00340,10.927,10.249,12.552,0.71,0.35,35.2,97.6,14.1,0.265,0.357,0.741,0.346,16,1
287.945054,11.192239,45.195628,0.637034,10.78876,0.00250,10.832,10.055,12.674,2.32,0.56,48.4,110.8,6.7,-0.283,0.544,2.367,0.562,32,1
288.096357,11.094575,45.177771,0.460238,11.91240,0.00790,11.914,11.315,13.379,2.39,1.11,164.9,47.4,13.3,2.281,1.054,-1.322,1.258,16,1
288.096545,11.272665,45.335705,0.542548,9.21640,0.00080,9.216,8.355,11.137,1.33,0.23,13.3,75.7,4.9,1.207,0.237,0.604,0.195,16,1
287.933537,11.316742,45.300788,0.704647,7.87080,0.00030,7.944,7.219,9.447,0.74,0.14,74.7,137.1,5.4,-0.652,0.139,0.387,0.142,16,1
288.096784,10.996868,45.091365,0.414617,9.95380,0.00090,9.952,9.237,11.725,0.70,0.26,20.2,82.6,10.8,0.571,0.265,0.485,0.263,16,1
288.057079,11.041551,45.112922,0.469851,9.87536,0.00104,9.935,9.378,11.438,0.50,0.23,21.3,83.7,12.1,0.403,0.232,0.370,0.228,32,1
288.349025,11.055519,45.258090,0.222415,11.74000,0.00620,11.550,10.910,12.885,1.94,0.90,3.4,65.7,13.3,2.122,0.900,0.250,0.884,16,1
288.349048,11.234743,45.416880,0.305528,12.47480,0.01070,12.469,11.370,14.468,3.32,1.24,173.6,56.0,10.7,3.458,1.234,-0.784,1.297,16,1
288.349324,11.187238,45.374919,0.283253,9.40241,0.00060,9.487,8.866,11.086,1.68,0.14,152.4,34.8,2.4,0.962,0.147,-1.382,0.134,32,1
288.872762,11.164171,45.593085,-0.182183,11.48880,0.00410,11.547,10.973,12.635,1.85,0.55,21.6,83.9,8.6,1.403,0.532,1.320,0.572,16,1
287.901908,11.173193,45.159160,0.665750,9.40660,0.00090,9.451,8.864,10.958,0.54,0.23,10.8,73.3,12.0,0.541,0.226,0.215,0.219,16,1
288.833251,11.280697,45.678191,-0.093654,8.92230,0.00070,8.954,8.520,10.016,0.91,0.15,12.1,74.3,4.7,0.844,0.147,0.378,0.162,16,1
288.064465,11.693170,45.693888,0.765111,11.90630,0.00920,11.956,11.618,13.011,2.49,1.06,74.0,136.4,12.2,-2.294,1.065,1.436,1.054,16,1
288.351439,11.187843,45.376418,0.281695,11.45777,0.00429,11.486,10.281,13.873,3.27,0.68,178.2,60.6,5.8,3.334,0.675,-0.205,0.873,32,1
288.351950,11.682418,45.814817,0.510651,11.89160,0.00670,11.863,11.063,13.837,2.93,0.98,11.0,73.3,9.6,2.862,0.994,1.154,0.860,16,1
288.351952,11.796572,45.915956,0.563594,9.70659,0.00074,9.768,9.354,10.921,0.49,0.14,18.7,81.1,7.8,0.403,0.132,0.309,0.151,32,1
288.065295,11.013258,45.091578,0.449603,11.17280,0.00260,11.012,10.288,12.470,1.90,0.77,12.8,75.2,11.6,1.847,0.772,0.882,0.760,16,1
288.066964,11.101830,45.170845,0.489162,9.48070,0.00090,9.525,8.948,10.929,0.58,0.15,47.4,109.9,7.4,-0.051,0.166,0.597,0.149,16,1
288.068738,11.394729,45.431275,0.623234,11.59590,0.00540,11.569,11.152,12.715,1.46,0.67,74.6,137.0,13.1,-1.382,0.641,0.827,0.747,16,1
288.356221,11.475648,45.633568,0.411039,11.12870,0.00300,11.161,10.729,12.249,1.84,0.75,0.3,62.7,11.7,1.990,0.750,0.024,0.826,16,1
287.939874,11.115738,45.125451,0.606147,10.35880,0.00230,10.321,9.615,12.071,2.01,0.52,31.2,93.6,7.5,0.962,0.530,1.840,0.522,16,1
287.940198,11.427836,45.402309,0.750250,10.75070,0.00220,10.665,9.919,12.416,1.57,0.48,73.1,135.5,8.9,-1.362,0.484,0.915,0.488,16,1
287.931810,11.602826,45.553665,0.838482,8.42820,0.00030,8.450,8.040,9.775,0.30,0.12,110.9,173.3,11.5,-0.245,0.125,-0.219,0.120,16,1
288.077128,11.354029,45.399007,0.597099,10.28140,0.00160,9.967,9.518,11.050,1.15,0.36,77.6,140.1,9.1,-1.095,0.378,0.504,0.289,16,1
288.372610,11.894087,46.011730,0.590911,11.84600,0.00590,11.719,11.042,13.427,1.87,0.86,173.8,56.1,13.2,2.008,0.866,-0.444,0.793,16,1
288.372750,11.476281,45.641643,0.396982,11.61710,0.00430,11.607,10.478,14.011,1.63,0.62,11.6,73.9,10.8,1.605,0.618,0.687,0.614,16,1
288.372837,11.701379,45.841103,0.501326,9.54160,0.00090,9.558,9.189,10.674,0.76,0.19,173.2,55.6,7.1,0.757,0.186,-0.182,0.217,16,1
287.944355,11.404458,45.383467,0.735822,8.57970,0.00030,8.604,8.262,9.601,0.37,0.13,85.4,147.8,10.2,-0.387,0.132,0.063,0.126,16,1
288.372855,11.401723,45.575639,0.362304,11.53360,0.00470,11.508,10.622,13.477,3.35,1.12,164.7,47.1,9.6,3.037,1.190,-1.797,0.908,16,1
288.088573,11.059834,45.143441,0.450920,8.82890,0.00050,8.985,8.200,10.563,0.74,0.13,12.4,74.9,5.0,0.683,0.129,0.317,0.125,16,1
288.088601,11.410182,45.453989,0.613131,12.12000,0.00960,12.116,11.656,13.358,2.85,1.15,19.7,82.1,11.5,2.373,1.169,1.952,1.115,16,1
288.373428,11.379316,45.556049,0.351412,11.37910,0.00400,11.362,10.461,13.541,2.59,0.75,160.6,42.9,8.2,2.100,0.713,-1.691,0.794,16,1
288.373442,11.160802,45.362475,0.250029,11.57850,0.00580,11.524,10.459,13.905,4.06,1.01,173.9,56.2,7.1,4.094,1.018,-0.888,0.918,16,1
288.322228,11.931380,46.021908,0.651881,11.16172,0.00283,11.194,10.859,12.067,1.14,0.38,151.2,33.6,9.0,0.642,0.381,-1.015,0.377,32,1
287.895637,11.175949,45.158758,0.672479,12.35960,0.01020,12.526,12.021,13.834,3.47,1.70,43.1,105.5,14.0,0.262,1.717,3.854,1.695,16,1
288.095568,11.044445,45.132981,0.437709,11.56152,0.00338,11.632,11.038,13.212,2.56,0.57,22.4,84.8,6.3,1.861,0.551,1.848,0.594,32,1
288.096008,11.380420,45.430971,0.592914,12.26160,0.00990,12.239,11.858,13.447,3.01,1.37,44.1,106.5,13.0,0.104,1.293,3.306,1.366,16,1
288.875369,11.262664,45.681451,-0.138607,11.24830,0.00640,11.225,10.639,12.833,2.69,0.86,20.6,82.9,9.2,2.121,0.887,1.860,0.834,16,1
288.096052,11.377701,45.428581,0.591617,10.24530,0.00170,10.247,9.850,11.421,0.76,0.21,44.2,106.6,8.0,0.023,0.220,0.793,0.213,16,1
288.332284,11.925280,46.021066,0.640336,10.26290,0.00150,10.236,9.621,11.802,1.57,0.20,178.4,60.8,3.7,1.583,0.202,-0.087,0.201,16,1
288.097847,10.942269,45.043456,0.388406,11.42680,0.00330,11.428,10.663,13.270,3.11,0.70,22.1,84.5,6.4,2.290,0.695,2.222,0.697,16,1
288.098711,11.121610,45.202803,0.470711,12.16250,0.00900,12.122,11.291,14.016,2.70,1.24,10.4,72.8,13.2,2.778,1.214,1.057,1.414,16,1
288.338000,11.343241,45.507978,0.365450,10.96080,0.00330,10.990,10.133,13.007,3.45,0.83,168.6,50.9,6.9,3.269,0.779,-1.380,1.081,16,1
288.844886,11.136393,45.555770,-0.170903,11.31500,0.00590,11.217,9.964,13.901,2.96,0.69,45.7,108.0,6.7,-0.075,0.577,3.043,0.690,16,1
288.341488,11.103477,45.297147,0.251213,11.32310,0.00380,11.354,11.036,12.297,1.95,0.48,174.7,57.0,7.1,1.975,0.485,-0.372,0.483,16,1
288.342362,11.646683,45.778801,0.502396,9.87202,0.00109,9.952,9.381,11.473,1.08,0.36,19.8,82.1,9.1,0.878,0.320,0.725,0.417,32,1
288.344844,11.730478,45.854170,0.539105,10.38430,0.00150,10.354,9.443,12.517,1.73,0.42,18.9,81.3,7.0,1.406,0.360,1.093,0.504,16,1
288.347338,11.695153,45.824005,0.520559,11.58700,0.00470,11.623,10.817,13.632,2.27,0.79,5.5,67.9,9.9,2.362,0.789,0.463,0.752,16,1
288.349995,11.795846,45.914424,0.564954,12.18846,0.00707,12.244,11.323,14.350,3.17,1.01,14.3,76.7,8.7,2.922,1.034,1.600,0.933,32,1
288.350004,11.448843,45.606994,0.404004,10.80130,0.00250,10.803,10.306,12.051,2.51,0.56,161.0,43.3,6.4,2.023,0.615,-1.583,0.459,16,1
288.860306,11.115263,45.544108,-0.194128,11.25000,0.00350,11.214,10.752,12.359,1.01,0.49,17.5,79.8,13.8,0.916,0.456,0.643,0.545,16,1
288.061168,11.082543,45.151115,0.485273,11.91010,0.00750,11.945,11.345,13.394,2.71,0.90,14.9,77.3,9.5,2.480,0.889,1.419,0.930,16,1
288.356385,11.384080,45.552519,0.368423,7.48180,0.00020,7.533,6.838,9.214,1.81,0.86,166.6,48.9,13.7,1.791,0.902,-0.908,0.699,16,1
288.064532,11.201023,45.257663,0.537205,9.57980,0.00062,9.644,9.311,10.587,0.62,0.17,61.5,123.9,7.5,-0.348,0.189,0.535,0.158,32,1
288.065329,11.346048,45.386576,0.603658,10.24377,0.00124,10.274,9.671,11.833,1.17,0.30,8.0,70.4,7.1,1.158,0.300,0.332,0.248,32,1
288.354864,11.266200,45.447394,0.315065,11.10940,0.00350,11.101,10.552,12.496,1.41,0.42,132.9,15.3,8.5,-0.108,0.422,-1.461,0.416,16,1
